,T-FAP_1_corr,T-FAP_1_qval
Ak5,0.14210214601470483,7.574743509478013e-18
H6pd,0.14196347940677037,8.182207918326006e-18
Nfia,0.14169344011877807,9.522157913694518e-18
H2-K1,0.14166602135783682,9.656041743001067e-18
Fads6,0.14162959120403298,9.842592096104754e-18
Hmgcs2,0.14131039112030686,1.1735868120276602e-17
Pappa,0.14090683415621852,1.470434215342824e-17
Mtus1,0.14089029629065733,1.4817829596462354e-17
Mapk4,0.14076480880590767,1.587615643672555e-17
Pnrc1,0.14067185889794165,1.6681998063579957e-17
Adhfe1,0.14050505651660558,1.8249570286363107e-17
Sord,0.1402254162070639,2.1303337113825383e-17
Plvap,0.14016063415463054,2.2063792412760004e-17
Heph,0.14007618007689873,2.3127522495744994e-17
Slc16a12,0.1400615822623591,2.32998663365092e-17
Fam78b,0.13991885990579708,2.5221069040717373e-17
Boc,0.13955165646673906,3.086343433840801e-17
Nid2,0.13903424980285575,4.111731688319565e-17
Pcdh11x,0.13902343233837225,4.133348907946491e-17
Fgl2,0.13890720149725644,4.4090914529601885e-17
Gxylt2,0.13870487327885192,4.931954633986801e-17
Phldb2,0.13824487453486542,6.346058427206845e-17
Nexn,0.13753030286164905,9.379264443100177e-17
Slc8a1,0.13734461813270357,1.035723827057026e-16
Oxnad1,0.13720009419139798,1.1214340522112778e-16
Cebpa,0.1368717858386319,1.3355522302011726e-16
Pgm5,0.13662866532491438,1.5217385809735783e-16
Pde4b,0.13654661824720746,1.589769826799918e-16
Col14a1,0.13644615271190752,1.6777871260987587e-16
Pknox2,0.13591391895696806,2.2263143364987587e-16
Runx1t1,0.13567253983871477,2.5340347945296835e-16
Nhs,0.13553417417892918,2.729607449810563e-16
Enc1,0.134907143528836,3.822692356497786e-16
Hspa1a,0.13468898189383563,4.284787868312589e-16
Msx1,0.13468775814990702,4.284787868312589e-16
Tnfaip3,0.13447322471909523,4.796860620966779e-16
Peli1,0.1343129565254207,5.225523470716267e-16
Nedd4,0.1341956127489044,5.55343895110506e-16
Rnf125,0.1340930645168032,5.856008174829375e-16
Tmem140,0.13401212364877302,6.114083841648961e-16
Alkal2,0.13393386154426076,6.364103473315962e-16
Ogn,0.13381582183494772,6.779092428977298e-16
Gng13,0.13368144433250836,7.279139189790733e-16
Foxd2,0.13341605345368218,8.36251841078582e-16
Birc3,0.13294831629550496,1.06686522799162e-15
Emid1,0.13285355778188315,1.121528942179493e-15
Gpr39,0.1326943648255922,1.2163066856925495e-15
B3galt1,0.13247078231612308,1.3629294716579714e-15
Il17ra,0.13246226257018548,1.3681230424862366e-15
Plppr3,0.1324589717965615,1.3694935278248555e-15
Kcnip4,0.13231745777755097,1.473970900126639e-15
Ly6k,0.132053203922576,1.6938593506639578e-15
Per3,0.132042733115989,1.7020700561074748e-15
Susd6,0.13190287691359248,1.8284935825374295e-15
Usp37,0.13184914620084373,1.878830612366219e-15
Klf9,0.13178429860070254,1.942011816668156e-15
Hvcn1,0.13175224761994564,1.9725059533314958e-15
Rgs7bp,0.13156450137995812,2.173419776087974e-15
Lamb2,0.13130397268568225,2.485166561108894e-15
Il31ra,0.1312353601589285,2.573542589279442e-15
Gcc1,0.13099218250650052,2.9147987624449748e-15
Birc2,0.1302576586118109,4.252784404428382e-15
Gm15564,0.13023549443281648,4.2995749647463746e-15
Creg1,0.13014687533183197,4.4950772953760005e-15
Sned1,0.1301133058888962,4.565174481529618e-15
Ppl,0.1301117190126015,4.565651155052212e-15
Ralgps2,0.1297868259263773,5.388281537378377e-15
Smarca1,0.12933607795358207,6.7795007972068e-15
Itgbl1,0.12927018988295624,7.00199944654273e-15
Gas1,0.1291957699982255,7.264016487230516e-15
Ddit3,0.12890958040493766,8.374044405527593e-15
Kdm6b,0.12888611016875404,8.471080292413648e-15
Nudt4,0.12864615406553745,9.564447105438767e-15
Espn,0.1283678076515525,1.0979241878971114e-14
Gm12216,0.12824875648073092,1.165786089828309e-14
Kcnt2,0.12795061572516328,1.3547458458890661e-14
Gnb4,0.12776340689758922,1.490332851959205e-14
Ephx2,0.12752642577623527,1.6807058061668068e-14
Alpl,0.12747999596774237,1.7202194369699286e-14
Ces2g,0.1273839747687377,1.804947136585855e-14
Sntb2,0.12701252092191084,2.1727727499306586e-14
Dact3,0.1269854299071655,2.200155448648417e-14
Cbx4,0.12692613519361806,2.266579284604011e-14
Btg1,0.1266904976409288,2.552335463514374e-14
Amy1,0.12638268310861164,2.971213477238208e-14
Rgs2,0.1263354507299904,3.037515793476222e-14
Gm17167,0.12629920566028668,3.0879103205894306e-14
Zfpm2,0.1262473635863431,3.166391463758934e-14
Midn,0.12608708146400788,3.4291088651570044e-14
Sgip1,0.125938913893266,3.6879065778904964e-14
Egr2,0.12551839920892371,4.5389470482820086e-14
Bambi,0.12544560624476253,4.7001505491798805e-14
Rims1,0.1253868397043602,4.839032471781533e-14
Prrg3,0.12537439426340957,4.8663724140001886e-14
Cys1,0.1251453559594698,5.446437221977927e-14
G0s2,0.1250748836640373,5.632707917854884e-14
Fos,0.12504408379957938,5.713440494964228e-14
Ier5,0.12473408509023076,6.650210931508861e-14
Casc4,0.12467127024827596,6.859582098420763e-14
Tgfb3,0.12424758576398427,8.433079372360022e-14
Rasd1,0.12416720508510856,8.75719681971513e-14
Dnm3os,0.12411841552899508,8.946840457024641e-14
Fdx1,0.12411794723490789,8.946840457024641e-14
