,TSPC_corr,TSPC_qval
Rras,0.15931843028470646,2.7715882219253276e-22
Kctd9,0.1591422379035592,3.09931548702431e-22
Npepl1,0.15910748056672291,3.165983258340238e-22
Ndufb10,0.1587816289035519,3.8995992461526245e-22
Ergic1,0.1587494930148398,3.976543092183162e-22
Golim4,0.15872065313878506,4.0463658161135758e-22
Uchl1,0.15870774431286566,4.0752411053495514e-22
Ap1s2,0.15863578929103164,4.258667667388491e-22
Prnp,0.15860072044913126,4.350874311937083e-22
Lrrfip1,0.15859768321032214,4.354079458836407e-22
Elovl1,0.15848307778016515,4.676920168357661e-22
3300005D01Rik,0.15845018649694942,4.766366339540252e-22
Edem2,0.15844993182373168,4.766366339540252e-22
Prdm8,0.15838939539552516,4.950104667766383e-22
Klc1,0.15837118864478877,5.002470729491156e-22
Med21,0.1582850362748405,5.281690313767046e-22
Miat,0.15826476514711885,5.3446403465019385e-22
Col8a1,0.15812015022327594,5.852091731622665e-22
Ttyh1,0.1578723109452477,6.838504725339715e-22
Plxdc1,0.15786253101931735,6.873334208136736e-22
Marveld1,0.15771587673489681,7.543103659615412e-22
Shisa5,0.15769355356338305,7.642778981041262e-22
Ube2g2,0.15764246043002628,7.888050991876204e-22
Ttyh2,0.15762235907011674,7.980868035896064e-22
Pla1a,0.15761776720873352,7.994837739472837e-22
Slc25a11,0.15742705865694961,9.02378553260975e-22
Colgalt2,0.15735050472610937,9.46598666055213e-22
Jpt1,0.1570853032901869,1.1203080326000416e-21
