source,target,ligand_complex,receptor_complex,rank_innervated,rank_denervated,delta_rank
Stromal,T-FAP,Col1a2,Cd44,1.97688269633686e-06,4.0237107026899436e-05,3.826022433056258e-05
Stromal_other,T-FAP,Sparc,Fgfr1,2.045501840601044e-06,3.4665514926206174e-05,3.262001308560513e-05
Tenocyte,Macrophage,Fn1,Cd44,2.1545268440518285e-06,3.4285173321412902e-06,1.2739904880894617e-06
TSPC,Stromal,Fn1,Cd44,2.176785972416348e-06,7.881250061209932e-05,7.663571463968298e-05
Tenocyte,Smooth_muscle,Col1a2,Cd44,2.239138288967917e-06,8.653562716458269e-06,6.414424427490352e-06
Tenogenic-progenitor,Smooth_muscle,Col1a2,Cd44,2.362766914335284e-06,1.344671134812228e-05,1.1083944433786997e-05
T-FAP,Smooth_muscle,Col1a1,Cd44,2.42624980135901e-06,1.364446304319592e-05,1.1218213241836911e-05
Macrophage,Stromal_other,Apoe,Lrp1,2.45594546750405e-06,8.918912160524065e-06,6.4629666930200145e-06
Tenocyte,TSPC,Timp2,Cd44,2.480228643993802e-06,1.2264792000911824e-05,9.784563356918022e-06
Stromal,Endothelial,Sparc,Eng,2.4908581876567976e-06,6.607660343732407e-07,-1.8300921532835569e-06
Stromal,TSPC,Fn1,Sdc2,2.5789597684552145e-06,6.168741844520432e-05,5.91084586767491e-05
TSPC,Endothelial,Sparc,Eng,2.691534690359546e-06,9.436784923718881e-07,-1.7478561979876578e-06
Endothelial,Stromal_other,Vim,Cd44,2.706008968681795e-06,8.574544023834815e-05,8.303943126966636e-05
T-FAP,Smooth_muscle,Col1a2,Cd44,2.7607434148642555e-06,1.7542049058501303e-05,1.4781305643637047e-05
T-FAP,TSPC,Fn1,Sdc2,2.8371578110259976e-06,6.979110867300294e-05,6.695395086197695e-05
Stromal,Smooth_muscle,Col1a1,Cd44,2.8667620657757845e-06,1.5620400549201174e-05,1.275363848342539e-05
TSPC,T-FAP,Col1a1,Cd44,2.9389258751539714e-06,8.014401183754433e-05,7.720508596239035e-05
TSPC,Stromal,Vim,Cd44,2.972471020915582e-06,0.00015212411417396234,0.00014915164315304675
Stromal,Macrophage,Vim,Cd44,3.0837634178299997e-06,8.372494116794906e-05,8.064117775011907e-05
Stromal_other,Smooth_muscle,Col1a1,Cd44,3.124603527202431e-06,1.7658609555418052e-05,1.4534006028215621e-05
