source,target,ligand_complex,receptor_complex,magnitude_rank_innervated,cellphone_pvals_innervated,cellchat_pvals_innervated,magnitude_rank_denervated,cellphone_pvals_denervated,cellchat_pvals_denervated,delta_rank
TSPC,TSPC,Timp2,Cd44,0.00013804590867867175,0.0,0.0,0.00010424076549395312,0.0,0.0,-3.380514318471863e-05
Smooth_muscle,TSPC,Col4a2,Cd44,0.00014778010755207602,0.0,0.0,0.0002076369547047779,0.0,0.0,5.985684715270189e-05
Stromal,TSPC,Lgals1,Itgb1,0.0001496312404253164,0.0,0.0,0.00028462891279346103,0.0,0.0,0.00013499767236814462
Tenogenic-progenitor,TSPC,Timp2,Itgb1,0.00015000330216192935,0.0,0.0,0.000128175794485956,0.0,0.0,-2.1827507675973342e-05
Stromal_other,TSPC,Col6a1,Cd44,0.00015037597676993277,0.0,0.0,0.0004296511165806528,0.0,0.0,0.00027927513981072
Stromal,TSPC,Col6a3,Cd44,0.0001533794961721765,0.0,0.0,0.000297796142577152,0.0,0.0,0.0001444166464049755
T-FAP,T-FAP,Serping1,Lrp1,0.00015565804887264061,0.0,0.0,0.00010337379905148346,0.0,0.0,-5.228424982115716e-05
Tenocyte,TSPC,Col6a2,Cd44,0.0001560399757099046,0.0,0.0,0.00024032521148560518,0.0,0.0,8.428523577570058e-05
TSPC,T-FAP,Fbn1,Itgb1,0.00015757389556467363,0.0,0.0,6.7160150704376e-05,0.0,0.0,-9.041374486029763e-05
Tenogenic-progenitor,T-FAP,Dcn,Egfr,0.00015901869829306725,0.0,0.0,6.678390774203458e-05,0.0,0.0,-9.223479055103268e-05
Macrophage,TSPC,C1qb,Lrp1,0.00016341509113146672,0.0,0.0,0.0001235783322154816,0.0,0.0,-3.983675891598511e-05
TSPC,T-FAP,Timp1,Cd63,0.00016579117349143523,0.0,0.0,0.0009967363558500773,0.0,0.0,0.0008309451823586421
Smooth_muscle,T-FAP,Col4a1,Cd47,0.00016738788316353925,0.0,0.0,0.00026749993492475516,0.0,0.0,0.00010011205176121591
